key,code,title,crn,no,total,schd,stat,isCancelled,meets,mpkey,instr,srcdb
430,CHEM 421,Chemical Biology,10640,01,1,H,A,,TTh 9-10:15a,2033,S. Slavoff,201803
431,CHEM 430,Statistical Mechanics and Thermodynamics,10641,01,1,H,A,,TTh 11:35a-12:50p,2021,V. Batista,201803
432,CHEM 437,Chemistry of Isotopes,10642,01,1,H,A,,MWF 9:25-10:15a,2026,M. Saunders,201803
433,CHEM 440,Molecules and Radiation I,10643,01,1,H,A,,MWF 9:25-10:15a,2026,K. Zilm,201803
434,CHEM 452,Organometallic Chemistry,10644,01,1,H,A,,MW 11:35a-12:50p,2052,R. Crabtree,201803
435,CHEM 457,Modern Coordination Chemistry,10645,01,1,H,A,,TTh 9-10:15a,2033,N. Hazari,201803
436,CHEM 470,Quantum Chemistry,10646,01,1,H,A,,TTh 9-10:15a,2033,S. Hammes-Schiffer,201803
437,CHEM 480,Introduction to Independent Research in Chemistry,10647,01,1,F,A,,HTBA,1,Staff,201803
438,CHEM 490,Independent Research in Chemistry,10648,01,1,F,A,,M 5:10-6p,6085,J. Parr,201803
539,CHLD 125,Child Development,10649,01,1,L,A,,M 1:30-3:20p,2058,Close/Horwitz,201803
540,CHLD 127,Theory and Practice of Early Childhood Education,10652,01,1,L,A,,T 2:30-4:20p,2113,C. Horwitz,201803
541,CHLD 334,Developmental Psychopathology,11498,01,1,H,A,,TTh 4-5:15p,2074,Team,201803
542,CHNS 110,Elementary Modern Chinese I,10730,01,7,H,A,,MTWThF 9:25-10:15a,2025,M. Chen,201803
543,CHNS 110,Elementary Modern Chinese I,10731,02,7,H,A,,MTWThF 9:25-10:15a,2025,Y. Zhang,201803
544,CHNS 110,Elementary Modern Chinese I,10732,03,7,H,A,,MTWThF 10:30-11:20a,2024,J. Shen,201803
545,CHNS 110,Elementary Modern Chinese I,10733,04,7,H,A,,MTWThF 10:30-11:20a,2024,Y. Wang-Saussy,201803
546,CHNS 110,Elementary Modern Chinese I,10734,05,7,H,A,,MTWThF 10:30-11:20a,2024,M. Chen,201803
547,CHNS 110,Elementary Modern Chinese I,10735,06,7,H,A,,MTWThF 11:35a-12:25p,2023,R. Li,201803
548,CHNS 110,Elementary Modern Chinese I,10736,07,7,H,A,,MTWThF 11:35a-12:25p,2023,Y. Wang-Saussy,201803
549,CHNS 112,Elementary Modern Chinese for Advanced Learners I,10737,01,1,H,A,,MTWThF 9:25-10:15a,2025,H. Chan,201803
550,CHNS 120,Elementary Modern Chinese II,10738,01,1,H,A,,MTWThF 9:25-10:15a,2025,J. Shen,201803
551,CHNS 130,Intermediate Modern Chinese I,10739,01,5,H,A,,MTWThF 9:25-10:15a,2025,N. Liang,201803
552,CHNS 130,Intermediate Modern Chinese I,10740,02,5,H,A,,MTWThF 9:25-10:15a,2025,C. Sun,201803
553,CHNS 130,Intermediate Modern Chinese I,10741,03,5,H,A,,MTWThF 10:30-11:20a,2024,N. Liang,201803
554,CHNS 130,Intermediate Modern Chinese I,10742,04,5,H,A,,MTWThF 10:30-11:20a,2024,P. Xu,201803
555,CHNS 130,Intermediate Modern Chinese I,10743,05,5,H,A,,MTWThF 11:35a-12:25p,2023,H. Wang,201803
556,CHNS 132,Intermediate Modern Chinese for Advanced Learners I,10744,01,4,H,A,,MTWThF 9:25-10:15a,2025,F. Liu,201803
557,CHNS 132,Intermediate Modern Chinese for Advanced Learners I,10745,02,4,H,A,,MTWThF 10:30-11:20a,2024,F. Liu,201803
558,CHNS 132,Intermediate Modern Chinese for Advanced Learners I,10746,03,4,H,A,,MTWThF 10:30-11:20a,2024,H. Chan,201803
559,CHNS 132,Intermediate Modern Chinese for Advanced Learners I,10747,04,4,H,A,,MTWThF 11:35a-12:25p,2023,H. Chan,201803
560,CHNS 150,Advanced Modern Chinese I,10748,01,4,H,A,,MWF 9:25-10:15a,2026,Y. Wang-Saussy,201803
561,CHNS 150,Advanced Modern Chinese I,10749,02,4,H,A,,MWF 10:30-11:20a,2027,R. Li,201803
562,CHNS 150,Advanced Modern Chinese I,10750,03,4,H,A,,MWF 10:30-11:20a,2027,C. Sun,201803
563,CHNS 150,Advanced Modern Chinese I,10751,04,4,H,A,,MWF 11:35a-12:25p,2028,C. Sun,201803
564,CHNS 152,Advanced Modern Chinese for Advanced Learners I,10752,01,3,H,A,,MWF 9:25-10:15a,2026,H. Wang,201803
